"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 9.980285000000000e-01, -1.725000000000000e-04, 4.168945613570412e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.413171296139012e+05, 1.000000000000000e-10, 1.400405153004505e+12, 5.652685184556045e+04, 4.723445564855033e+02, 0.000000000000000e+00, -1.352289786303456e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.568310989057475e-05, 1.539244985769403e-02, 7.359672286488231e-03, -2.364179533277322e+05, 2.874179199003851e-01, 2.976862263459433e-23
1, 0.000000000000000e+00, 0.000000000000000e+00, 2.428347810116481e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.396327407542585e+06, 1.000000000000000e-10, 3.150819657744855e+11, 5.585309630170336e+05, 8.012475392144370e+02, 0.000000000000000e+00, 2.330977360655596e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.627108627600783e-05, -6.067967840430671e-06, 7.241724846503819e-04, -3.004912175999012e+03, 1.015820738523491e-01, 7.707223205529272e-22
1842, 9.965353993007438e-01, 2.808205014927226e-04, 3.911925540223591e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.224890668690242e+05, 1.000000000000000e-10, 1.308903263941611e+12, 4.899562674760965e+04, 4.363119249770361e+02, 0.000000000000000e+00, -1.722277893289522e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.430382004790143e-05, 1.625930515891625e-03, -2.800675956734710e-04, 7.515152532169644e+02, 9.190188393208598e-02, 2.988734299002995e-23
1843, 9.935574862760320e-01, 5.976350406159017e-04, 4.693728348842088e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.515374183329900e+05, 1.000000000000000e-10, 1.124184861694027e+12, 6.061496733319596e+04, 4.498754247550259e+02, 0.000000000000000e+00, -1.151452061930798e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482986134430076e-05, 2.194160804838563e-03, -1.979259056475714e-04, 4.984006140357840e+01, 1.133692410052889e-01, 4.175269782281016e-23
1844, 9.905705082210535e-01, 8.188879332111788e-04, 4.827243886713484e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.562473277985767e+05, 1.000000000000000e-10, 1.095288401569976e+12, 6.249893111943063e+04, 4.510281974547659e+02, 0.000000000000000e+00, -1.058898169856993e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.487418060344860e-05, 2.120345693065637e-03, -1.683700317024094e-04, -3.736813032003445e+01, 1.127543741945311e-01, 4.407318113264150e-23
1845, 9.875860567925343e-01, 1.071807612915464e-03, 4.724641215052989e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.523631567093291e+05, 1.000000000000000e-10, 1.116220233921441e+12, 6.094526268373158e+04, 4.493672982734324e+02, 0.000000000000000e+00, -1.135225571565476e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.481030690884966e-05, 2.088436853336613e-03, -1.842793810994850e-04, 4.952292081714040e+01, 1.110320347831489e-01, 4.232750231188775e-23
1846, 9.846034115975268e-01, 1.345412290884476e-03, 4.693361945610320e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.512612565092251e+05, 1.000000000000000e-10, 1.123190896343856e+12, 6.050450260368999e+04, 4.490906287316965e+02, 0.000000000000000e+00, -1.156878886335471e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.479965479719036e-05, 2.102306236648522e-03, -1.908669269623199e-04, 7.370965331751007e+01, 1.110903923918519e-01, 4.178634463951000e-23
1847, 9.816202610238123e-01, 1.613438078263865e-03, 4.720884419374548e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.523182333738839e+05, 1.000000000000000e-10, 1.117510195911273e+12, 6.092729334955352e+04, 4.495922981527413e+02, 0.000000000000000e+00, -1.136108354890881e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.481896711422082e-05, 2.113277833888674e-03, -1.869128849194143e-04, 4.154128388679741e+01, 1.116075078390735e-01, 4.224503784391453e-23
1848, 9.786363762277844e-01, 1.873178104489046e-03, 4.742767037382365e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.531209387166151e+05, 1.000000000000000e-10, 1.112845103830223e+12, 6.124837548664601e+04, 4.498763125141596e+02, 0.000000000000000e+00, -1.120334484033905e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482989549804731e-05, 2.112233587263515e-03, -1.829241927437329e-04, 1.897895827918299e+01, 1.117799573430339e-01, 4.261876130253056e-23
1849, 9.756522625612002e-01, 2.130280205787964e-03, 4.744049598158093e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.531502101914305e+05, 1.000000000000000e-10, 1.112482864861336e+12, 6.126008407657217e+04, 4.498406654720573e+02, 0.000000000000000e+00, -1.119759273631093e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482852406189868e-05, 2.107954519173727e-03, -1.823141858423673e-04, 1.995752964327012e+01, 1.116873920825316e-01, 4.264416626541624e-23
1850, 9.726683189585320e-01, 2.389347448849889e-03, 4.735823544234243e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.528377667762655e+05, 1.000000000000000e-10, 1.114177384172812e+12, 6.113510671050617e+04, 4.497027129845306e+02, 0.000000000000000e+00, -1.125899063437594e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482321612145662e-05, 2.105903556663726e-03, -1.835905593438518e-04, 3.053554321761588e+01, 1.115633881041887e-01, 4.250548318501263e-23
1851, 9.696845604250210e-01, 2.650538490984239e-03, 4.730262868276600e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.526389858267333e+05, 1.000000000000000e-10, 1.115388506092592e+12, 6.105559433069330e+04, 4.496457911248247e+02, 0.000000000000000e+00, -1.129805285135433e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482102571128899e-05, 2.106557716339922e-03, -1.847522287742930e-04, 3.608891334866665e+01, 1.115275604765000e-01, 4.240946827813929e-23
1852, 9.667008879674128e-01, 2.912711307867068e-03, 4.728141811512052e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.525637361705916e+05, 1.000000000000000e-10, 1.115854531780213e+12, 6.102549446823660e+04, 4.496257326013406e+02, 0.000000000000000e+00, -1.131284007519381e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482025380420496e-05, 2.107245319833365e-03, -1.851084625246582e-04, 3.810211123035566e+01, 1.115248983525963e-01, 4.237275303117481e-23
1853, 9.637172022725113e-01, 3.174733980967535e-03, 4.729730960361307e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.526268513069248e+05, 1.000000000000000e-10, 1.115539936070211e+12, 6.105074052276988e+04, 4.496606084790830e+02, 0.000000000000000e+00, -1.130043739195948e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482159591206579e-05, 2.108064480182462e-03, -1.848796523402663e-04, 3.566160213479536e+01, 1.115585923215702e-01, 4.239894924502042e-23
1854, 9.607334557700395e-01, 3.436061898129369e-03, 4.731778675475429e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527032023300288e+05, 1.000000000000000e-10, 1.115109486971492e+12, 6.108128093201149e+04, 4.496908579765346e+02, 0.000000000000000e+00, -1.128543373975825e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482275994098985e-05, 2.108251192124538e-03, -1.844772549404376e-04, 3.340132120606697e+01, 1.115814838927495e-01, 4.243368005361744e-23
1855, 9.577496670682745e-01, 3.696908244333506e-03, 4.732948844468955e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527454917955197e+05, 1.000000000000000e-10, 1.114857081483024e+12, 6.109819671820787e+04, 4.497041830368987e+02, 0.000000000000000e+00, -1.127712348527564e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482327268859776e-05, 2.108329672142244e-03, -1.842370793812077e-04, 3.281322386738460e+01, 1.115944843340808e-01, 4.245378778686421e-23
1856, 9.547658598025723e-01, 3.957542227558140e-03, 4.734618191417758e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.528145149713934e+05, 1.000000000000000e-10, 1.114540245915435e+12, 6.112580598855732e+04, 4.497487671611623e+02, 0.000000000000000e+00, -1.126355981995027e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482498822477575e-05, 2.109000120680051e-03, -1.842388403078410e-04, 3.000167419966637e+01, 1.116240631309715e-01, 4.248082208363452e-23
1857, 9.517820571569813e-01, 4.218228996611002e-03, 4.734029233655936e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527918285193647e+05, 1.000000000000000e-10, 1.114660201848982e+12, 6.111673140774586e+04, 4.497379432795814e+02, 0.000000000000000e+00, -1.126801790868412e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482457174488704e-05, 2.108587619758537e-03, -1.843008649586509e-04, 3.068932868783132e+01, 1.116083016019681e-01, 4.247096643288878e-23
1858, 9.487982739354875e-01, 4.479138402510888e-03, 4.732817801238335e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527445657025866e+05, 1.000000000000000e-10, 1.114904330134538e+12, 6.109782628103458e+04, 4.497139079154427e+02, 0.000000000000000e+00, -1.127730547073846e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482364689632040e-05, 2.108221884211834e-03, -1.844129050028358e-04, 3.260976543510932e+01, 1.115888299939359e-01, 4.245080618083823e-23
1859, 9.458145066411858e-01, 4.740229709444125e-03, 4.732187323149337e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527218987502021e+05, 1.000000000000000e-10, 1.115041141315649e+12, 6.108875950008080e+04, 4.497070787021179e+02, 0.000000000000000e+00, -1.128175972761953e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482338411257516e-05, 2.108375972967841e-03, -1.845315939584048e-04, 3.376101345489973e+01, 1.115868977632993e-01, 4.243994429941291e-23
1860, 9.428307492900284e-01, 5.001434638538728e-03, 4.732461107834418e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527366136240392e+05, 1.000000000000000e-10, 1.115006149889896e+12, 6.109464544961566e+04, 4.497243891457566e+02, 0.000000000000000e+00, -1.127886812459626e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482405020322201e-05, 2.108804049412533e-03, -1.846254222610030e-04, 3.281007478334423e+01, 1.115985885257487e-01, 4.244372520012425e-23
1861, 9.398469958420801e-01, 5.262684226467135e-03, 4.732302361436045e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527312907653710e+05, 1.000000000000000e-10, 1.115042396345208e+12, 6.109251630614838e+04, 4.497238018909747e+02, 0.000000000000000e+00, -1.127991411346356e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482402760639714e-05, 2.108575365662533e-03, -1.846133174428456e-04, 3.240888509555612e+01, 1.115907854756090e-01, 4.244091947352654e-23
1862, 9.368632404548567e-01, 5.523911387945502e-03, 4.731303906026793e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.526888195377850e+05, 1.000000000000000e-10, 1.115226159216086e+12, 6.107552781511396e+04, 4.496936231652641e+02, 0.000000000000000e+00, -1.128826008580753e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482286634596583e-05, 2.107767355674348e-03, -1.845136289560736e-04, 3.411456997039156e+01, 1.115627843804417e-01, 4.242498312493300e-23
1863, 9.338794799017924e-01, 5.785079650720879e-03, 4.730348280297796e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.526486324817795e+05, 1.000000000000000e-10, 1.115404666144948e+12, 6.105945299271178e+04, 4.496660889606720e+02, 0.000000000000000e+00, -1.129615719820740e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482180680919561e-05, 2.107466706200636e-03, -1.844457479510549e-04, 3.664738135030510e+01, 1.115482268162928e-01, 4.240963899336167e-23
1864, 9.308957142937465e-01, 6.046190018950668e-03, 4.731430269215578e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.526958578314713e+05, 1.000000000000000e-10, 1.115211791732943e+12, 6.107834313258846e+04, 4.497023414899500e+02, 0.000000000000000e+00, -1.128687699876737e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482320182644942e-05, 2.108483563424063e-03, -1.844946298531831e-04, 3.495046683053879e+01, 1.115815312457616e-01, 4.242666846890615e-23
1865, 9.279119438701943e-01, 6.307245614157335e-03, 4.732551645253401e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527435033423555e+05, 1.000000000000000e-10, 1.115005202125377e+12, 6.109740133694215e+04, 4.497360715669408e+02, 0.000000000000000e+00, -1.127751423393207e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482449972483610e-05, 2.108931453956194e-03, -1.844959342058132e-04, 3.248660689474838e+01, 1.116006830507291e-01, 4.244457653708401e-23
1866, 9.249281689289663e-01, 6.568249593208189e-03, 4.731613139165532e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527026707322987e+05, 1.000000000000000e-10, 1.115173521655957e+12, 6.108106829291944e+04, 4.497050249493295e+02, 0.000000000000000e+00, -1.128553820342002e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482330508507252e-05, 2.108379222725006e-03, -1.844119824069825e-04, 3.494469194457635e+01, 1.115802935431238e-01, 4.242976747757648e-23
1867, 9.219443897462156e-01, 6.829205076792118e-03, 4.732853215289408e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527559739936487e+05, 1.000000000000000e-10, 1.114948238475822e+12, 6.110238959745943e+04, 4.497441311758010e+02, 0.000000000000000e+00, -1.127506364051343e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482480984259240e-05, 2.109224849627871e-03, -1.844539028771980e-04, 3.254891256574799e+01, 1.116104519200813e-01, 4.244945248090304e-23
1868, 9.189606069547160e-01, 7.090119083322639e-03, 4.732297397633219e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.527320204988508e+05, 1.000000000000000e-10, 1.115049022083076e+12, 6.109280819954030e+04, 4.497264223490208e+02, 0.000000000000000e+00, -1.127977071437229e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.482412843820383e-05, 2.108970100172569e-03, -1.844090322956060e-04, 3.412249410465986e+01, 1.116001695559541e-01, 4.244063788252346e-23
